"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_f481f6b5","camouflage","Defensive strategy where caterpillars visually blend into surroundings to avoid predators.","Behavior","0.91","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. Here, camouflage refers to visual concealment via mimicry of plant parts.","entity_raw","ClsC_84499569","Caterpillar Camouflage Strategies","Caterpillar Biology and Defense","[""Ch_000003""]","[]"
"En_8baeb2a2","twig mimicry","Caterpillar camouflage strategy where individuals resemble twigs.","Behavior","0.84","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. This describes a behavioral/phenotypic strategy resembling twigs.","entity_raw","ClsC_84499569","Caterpillar Camouflage Strategies","Caterpillar Biology and Defense","[""Ch_000003""]","[]"
"En_cbc8017d","leaf mimicry","Caterpillar camouflage strategy in which individuals resemble leaves.","Behavior","0.84","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. This specifies a form of camouflage where caterpillars look like leaves.","entity_raw","ClsC_84499569","Caterpillar Camouflage Strategies","Caterpillar Biology and Defense","[""Ch_000003""]","[]"
"En_6bd20b29","spines","Defensive protrusions on some caterpillars used as protection against threats.","Component","0.9","Caterpillars come in a variety of shapes, sizes, and colors, depending on the species. Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators.","entity_raw","ClsC_74c6ff79","Caterpillar Defensive Structures","Caterpillar Anatomy","[""Ch_000003""]","[]"
"En_332efc1c","hairs","Hair-like structures on some caterpillars providing physical protection.","Component","0.9","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. These hairs are physical structures contributing to caterpillar defense.","entity_raw","ClsC_74c6ff79","Caterpillar Defensive Structures","Caterpillar Anatomy","[""Ch_000003""]","[]"
"En_2af98f3b","caterpillar protective spines and hairs","Combined defensive structures on caterpillars used to protect them from threats.","DamagePreventionFeature","0.8","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. The passage highlights these anatomical features as protective adaptations.","entity_raw","ClsC_74c6ff79","Caterpillar Defensive Structures","Caterpillar Anatomy","[""Ch_000003""]","[]"
"Can_5f153ade","bias in AI systems","Systematic, unfair, or discriminatory tendencies in AI systems arising from biased or incomplete data, design choices, or deployment contexts, which can disadvantage certain groups or lead to inequitable outcomes.","Concept","0.98","All four mentions refer to the same underlying concept of AI bias as an ethical concern and damage mechanism, differing only in wording and minor type nuance.","entity_raw","ClsC_42a3ff76","AI Ethics Concepts","AI Ethics & Governance","[]","[]"
"En_6c6c854a","fairness","The quality of decisions or processes being impartial and just across affected groups.","Condition","0.93","Addressing bias in AI systems is crucial to ensuring fairness and equity in decision-making processes.","entity_raw","ClsC_42a3ff76","AI Ethics Concepts","AI Ethics & Governance","[""Ch_000018""]","[]"
"En_d9389e81","equity","Condition where outcomes and opportunities are adjusted to account for structural disadvantages.","Condition","0.9","Addressing bias in AI systems is crucial to ensuring fairness and equity in decision-making processes.","entity_raw","ClsC_42a3ff76","AI Ethics Concepts","AI Ethics & Governance","[""Ch_000018""]","[]"
"En_1e04ea32","butterfly egg size","Variation in how large or small butterfly eggs are across species.","IntrinsicProperty","0.82","The size, shape, and color of butterfly eggs vary depending on the species. Some eggs are round, while others are cylindrical or oval.","entity_raw","ClsC_a90782df","Butterfly egg morphology traits","Butterfly Life Cycle and Reproduction","[""Ch_000002""]","[]"
