"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_59f0cf4b1acd","Can_38ee4479","Can_690f4a29","has_life_stage","has_life_cycle_stage_type","Indicates that an organism or taxonomic group has a specific stage type as part of its life cycle (e.g., egg, larva, pupa, adult), without implying a current temporal state of an individual.","life_stage_membership_relation","TEMPORALITY","life-stage","0.9","Direction chosen as organism → its developmental stage.","The text explicitly lists adult butterfly as a stage in the butterfly's life cycle.","","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""final stage of the life cycle"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""SequenceContext: egg → larva → pupa → adult""
}","The butterfly has an adult stage as the final stage of its life cycle."
"RelR_f849b185d587","Can_38ee4479","Can_466f6058","has_life_stage","has_life_cycle_stage_type","Indicates that an organism or taxonomic group has a specific stage type as part of its life cycle (e.g., egg, larva, pupa, adult), without implying a current temporal state of an individual.","life_stage_membership_relation","TEMPORALITY","life-stage","0.9","Direction chosen as organism → its developmental stage.","The text lists pupa as one of the stages in the butterfly's life cycle.","","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""before the adult stage"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""SequenceContext: egg → larva → pupa → adult""
}","The butterfly has a pupa stage as part of its life cycle."
"RelR_e98df9e87abe","Can_466f6058","Can_690f4a29","precedes","precedes_in_life_cycle","Indicates that one life stage occurs before another life stage in the ordered life cycle of an organism.","temporal_order_relation","TEMPORALITY","temporal-order","0.88","Direction chosen as earlier stage → later stage.","The ordered list of stages establishes that pupa occurs before the adult butterfly stage.","","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""in the life cycle sequence"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""StageOrder: pupa is the third stage, adult is the fourth""
}","The pupa stage comes before the adult stage in the butterfly life cycle."
"RelR_debb207b84a8","Can_116352ca","Can_43b24e7a","lays_eggs_on","oviposits_on","Indicates that a female organism deposits its eggs on a specific substrate or host.","reproductive_behavior_relation","AGENCY","reproductive-behavior","0.97","Direction chosen as egg-laying organism → substrate/host plant.","The sentence explicitly states that female butterflies lay eggs on specific host plants.","","Female butterflies lay their eggs on specific host plants that will provide food for the emerging larvae.","Ch_000001","{
 ""TemporalQualifier"": ""during the egg stage of the life cycle"",
 ""SpatialQualifier"": ""on specific host plants"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""FunctionalReason: host plants will provide food for emerging larvae""
}","Female butterflies deposit their eggs on specific host plants."
"RelR_cccdc9addccb","En_09aa0f55","En_3acddb02","protects_against","provides_protection_from","Indicates that the subject trait, structure, or behavior confers protection to a target (typically the organism or its offspring) by reducing harm or risk posed by the object (e.g., predators, environmental hazards).","defensive_trait_relation","CAUSALITY","protective","0.83","Direction chosen as substrate (underside of leaves) providing protection against predators.","The text states that eggs are laid on the underside of leaves specifically 'to protect them from predators', implying the underside location offers protection from predators.","","The eggs are usually laid on the underside of leaves to protect them from predators.","Ch_000002","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""on the underside of leaves"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""when eggs are laid on the underside of leaves"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to protect them from"",
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": ""ProtectedEntity: butterfly eggs""
}","Laying eggs on the underside of leaves serves to protect the eggs from predators."
"RelR_ca823f123534","En_edbab226","En_7f07fa15","contributes_to","contributes_to","Indicates that the subject process or activity is a contributing causal factor to the occurrence, maintenance, or magnitude of the object outcome or state.","causal_influence_relation","CAUSALITY","causal","0.78","Feeding behavior is modeled as contributing to the physiological outcome of rapid growth.","The sentence links two activities: caterpillars 'spend most of their time feeding on leaves and growing rapidly', suggesting feeding drives or supports rapid growth.","Causality is implied but not explicitly stated; relation created to capture this developmental context.","Caterpillars are voracious eaters and spend most of their time feeding on leaves and growing rapidly.","Ch_000002","{
 ""TemporalQualifier"": ""during the larva stage (second stage of the butterfly's life cycle)"",
 ""SpatialQualifier"": ""on leaves"",
 ""OperationalConstraint"": ""when caterpillars are actively feeding"",
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""and (co-occurring activities implying feeding enables growth)"",
 ""LogicalMarker"": ""and"",
 ""OtherQualifier"": ""LifeStage: caterpillar (larva)""
}","Caterpillars’ feeding on leaves is associated with (and functionally supports) their rapid growth during the larval stage."
"RelR_0f0eded4976d","En_0d334a9d","En_82d1c7f9","acts_on","acts_on_entity","A biological or physical process that directly acts on or alters a material entity as its target or substrate.","biological_process_target_relation","MODIFICATION","process-target","0.88","Molting is explicitly defined as the process of shedding skin; direction chosen as process → structure.","Text states molting is the process by which caterpillars shed their skin as they grow.","","They shed their skin several times as they grow, a process known as molting.","Ch_000003","{
 ""TemporalQualifier"": ""as they grow"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""as they grow"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""ProcessDefinitionContext: molting is defined here as skin shedding during growth""
}","During molting, caterpillars shed their external skin."
"RelR_e79e49632c59","En_0d334a9d","En_82d1c7f9","results_in_change_of","results_in","Denotes that a process causally leads to a specific outcome state, structure, or life stage.","biological_process_outcome_relation","CAUSALITY","state-change","0.8","Direction chosen as process → structure to represent skin replacement outcome.","Text notes that each time they molt, they reveal a new, larger skin underneath.","Relation created to capture that molting changes the skin to a new, larger one.","Each time they molt, they reveal a new, larger skin underneath.","Ch_000003","{
 ""TemporalQualifier"": ""each time they molt"",
 ""SpatialQualifier"": ""underneath the old skin"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""each time"",
 ""OtherQualifier"": ""ChangeType: replacement with larger skin""
}","Each molting event results in a new, larger caterpillar skin being revealed."
"RelR_bf6d759409fa","En_8baeb2a2","En_f481f6b5","is_subtype_of","is_subtype_of","Indicates that the subject is a more specific subtype, kind, or state of the object within a taxonomic or type hierarchy.","taxonomic_subtype_relation","HIERARCHY","taxonomy","0.84","Interprets twig mimicry as a specific camouflage strategy; subtype → supertype.","Text describes some caterpillars mimicking twigs as a way to camouflage themselves.","","others mimic the appearance of twigs or leaves to camouflage themselves from predators.","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to camouflage themselves"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""FunctionalRole: defensive visual strategy""
}","Twig mimicry is presented as a specific way caterpillars achieve camouflage."
"RelR_89f260736044","En_cbc8017d","En_f481f6b5","is_subtype_of","is_subtype_of","Indicates that the subject is a more specific subtype, kind, or state of the object within a taxonomic or type hierarchy.","taxonomic_subtype_relation","HIERARCHY","taxonomy","0.84","Leaf mimicry treated as a specific camouflage strategy; subtype → supertype.","Text mentions caterpillars mimicking leaves specifically as a way to camouflage.","","others mimic the appearance of twigs or leaves to camouflage themselves from predators.","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to camouflage themselves"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""FunctionalRole: defensive visual strategy""
}","Leaf mimicry is used as a specific form of camouflage."
"RelR_eeeb624488dd","En_8baeb2a2","En_eeb5307e","mimics","resembles_in_appearance","Subject is a type of mimicry strategy that visually resembles the object in appearance or form, typically for camouflage or concealment.","mimicry_resemblance_relation","ASSOCIATION","resemblance","0.9","Strategy (twig mimicry) → model object (twigs).","Explicit mention of mimicking the appearance of twigs.","","others mimic the appearance of twigs or leaves to camouflage themselves from predators.","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""visual environment where twigs are present"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to camouflage themselves"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Purpose: concealment from predators""
}","Twig mimicry involves resembling twigs in appearance."
"RelR_6d68f46ba528","En_cbc8017d","En_d3f23ee9","mimics","resembles_in_appearance","Subject is a type of mimicry strategy that visually resembles the object in appearance or form, typically for camouflage or concealment.","mimicry_resemblance_relation","ASSOCIATION","resemblance","0.9","Strategy (leaf mimicry) → model object (leaves).","Explicit mention of mimicking the appearance of leaves.","","others mimic the appearance of twigs or leaves to camouflage themselves from predators.","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""visual environment where leaves are present"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to camouflage themselves"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Purpose: concealment from predators""
}","Leaf mimicry consists of resembling leaves in appearance."
"RelR_d155e64427a2","En_f481f6b5","En_06d732fe","protects_from","provides_protection_from","Indicates that the subject trait, structure, or behavior confers protection to a target (typically the organism or its offspring) by reducing harm or risk posed by the object (e.g., predators, environmental hazards).","defensive_trait_relation","CAUSALITY","defense","0.92","Defense mechanism (camouflage) → threat (predators).","Text states camouflage is from predators, implying protection.","","others mimic the appearance of twigs or leaves to camouflage themselves from predators.","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in environments where predators hunt visually"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to camouflage themselves from predators"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Mechanism: visual blending with twigs or leaves""
}","Camouflage protects caterpillars by concealing them from predators."
"RelR_1cbc46290af6","En_6bd20b29","En_06d732fe","protects_from","provides_protection_from","Indicates that the subject trait, structure, or behavior confers protection to a target (typically the organism or its offspring) by reducing harm or risk posed by the object (e.g., predators, environmental hazards).","defensive_trait_relation","CAUSALITY","defense","0.85","Defensive structure → threat it protects against.","Spines are described as being ""for protection"" in a context about avoiding predators.","Predators are not explicitly named in the same clause but implied by surrounding text about camouflage from predators.","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves...","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""on the caterpillar body surface"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""implied target: predators"",
 ""CausalHint"": ""for protection"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""ProtectionType: physical deterrence""
}","Caterpillar spines serve as protective structures against predators."
"RelR_308cde1adf6b","En_332efc1c","En_06d732fe","protects_from","provides_protection_from","Indicates that the subject trait, structure, or behavior confers protection to a target (typically the organism or its offspring) by reducing harm or risk posed by the object (e.g., predators, environmental hazards).","defensive_trait_relation","CAUSALITY","defense","0.85","Defensive structure → likely threat (predators).","Hairs are ""for protection"" and the same sentence discusses camouflaging from predators.","Specific target (predators) is inferred from nearby phrase about predators.","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves...","Ch_000003","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""on the caterpillar body surface"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""inferred target: predators"",
 ""CausalHint"": ""for protection"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""ProtectionType: physical/irritating barrier""
}","Hair-like structures on caterpillars provide protection against predators."
