canonical_id,canonical_name,member_id,member_name,member_desc,member_type,confidence_score,_cluster_id,resolved_action,resolution_rationale
Can_7f3f4b34,Calculation of Heater Tube Thickness in Petroleum Refineries,En_8044e01a,Calculation of Heater Tube Thickness in Petroleum Refineries,A standard for calculating the thickness of heater tubes in petroleum refineries.,Standard,0.9,68,merged,"Both entities refer to the same standard with identical names and descriptions, indicating they are the same concept."
Can_7f3f4b34,Calculation of Heater Tube Thickness in Petroleum Refineries,En_359c6cf6,Calculation of Heater Tube Thickness in Petroleum Refineries,A standard for calculating the thickness of heater tubes in petroleum refineries.,Standard,0.95,68,merged,"Both entities refer to the same standard with identical names and descriptions, indicating they are the same concept."
Can_3290e169,API Publication 581,En_196eba56,Publ. 581 Risk-Based Inspection - Base Resource Document,A publication providing a base resource for risk-based inspection.,Standard,0.9,47,merged,All these entities refer to the same document 'API Publication 581' which is a risk-based inspection resource by the American Petroleum Institute.
Can_3290e169,API Publication 581,En_bf33e80f,Risk-Based Inspection - Base Resource Document,A standard document providing guidelines for risk-based inspection practices.,Standard,0.95,47,merged,All these entities refer to the same document 'API Publication 581' which is a risk-based inspection resource by the American Petroleum Institute.
Can_3290e169,API Publication 581,En_0f21441c,API Publication 581,A document titled 'Risk-Based Inspection - Base Resource Document' by the American Petroleum Institute.,ReferenceDocument,0.95,47,merged,All these entities refer to the same document 'API Publication 581' which is a risk-based inspection resource by the American Petroleum Institute.
Can_3290e169,API Publication 581,En_50f29168,API Publication 581,A document on risk-based inspection by the American Petroleum Institute.,ReferenceDocument,0.9,47,merged,All these entities refer to the same document 'API Publication 581' which is a risk-based inspection resource by the American Petroleum Institute.
Can_3290e169,API Publication 581,En_b776d803,API Publication 581,A document on Risk-Based Inspection by the American Petroleum Institute.,Document,0.95,47,merged,All these entities refer to the same document 'API Publication 581' which is a risk-based inspection resource by the American Petroleum Institute.
Can_d16df8a6,British Standard 7910,En_2be7efdf,BSI 7910,Guidance on methods for assessing the acceptability of flaws in fusion welded structures.,Standard,0.95,29,merged,"All three entities refer to the same standard, British Standard 7910, with similar descriptions and purposes."
Can_d16df8a6,British Standard 7910,En_86ccdbc0,British Standard 7910,Guidance on assessing the acceptability of flaws in fusion welded structures.,Standard,0.9,29,merged,"All three entities refer to the same standard, British Standard 7910, with similar descriptions and purposes."
Can_d16df8a6,British Standard 7910,En_3bcaad38,British Standard 7910,Guidance on methods for assessing the acceptability of flaws in fusion welded structures.,Standard,0.95,29,merged,"All three entities refer to the same standard, British Standard 7910, with similar descriptions and purposes."
Can_8ec5a823,British Standards Institution,En_0afd3f19,British Standard Institute,"An organization located at 389 Chiswick High Road, London, providing British standards.",Organization,0.95,29,merged,"All three entities refer to the British Standards Institution, with consistent descriptions and roles."
Can_8ec5a823,British Standards Institution,En_1dea9a83,British Standards Institution,The organization responsible for publishing British Standard 7910.,Organization,0.9,29,merged,"All three entities refer to the British Standards Institution, with consistent descriptions and roles."
Can_8ec5a823,British Standards Institution,En_4843f18a,British Standards Institution,Organization responsible for publishing British Standard 7910.,Organization,0.9,29,merged,"All three entities refer to the British Standards Institution, with consistent descriptions and roles."
Can_7ebf73bc,2.25Cr-1Mo steel,En_c66e6828,quenched and tempered 2-1/4Cr-1Mo steel,A type of steel used for thick wall reactor vessels in petroleum refinery processes.,Material,0.9,88,merged,"These entities all refer to 2.25Cr-1Mo steel, a low alloy steel used in similar applications and affected by similar issues like temper embrittlement."
Can_7ebf73bc,2.25Cr-1Mo steel,En_30553c6c,2.25Cr-1Mo low alloy steel,A type of low alloy steel primarily affected by temper embrittlement.,Material,0.95,88,merged,"These entities all refer to 2.25Cr-1Mo steel, a low alloy steel used in similar applications and affected by similar issues like temper embrittlement."
Can_7ebf73bc,2.25Cr-1Mo steel,En_9cb94b6b,2.25Cr-1Mo steels,"A type of low alloy steel susceptible to temper embrittlement, especially at certain temperatures.",Material,0.9,88,merged,"These entities all refer to 2.25Cr-1Mo steel, a low alloy steel used in similar applications and affected by similar issues like temper embrittlement."
