canonical_id,canonical_name,canonical_type,n_members,example_members,rationale
Can_8de8badb,erosion,DamageMechanism,5,erosion | erosion | erosion | erosion | erosion,"All entities describe the same damage mechanism of material surface wear due to mechanical action, with slight variations in description that can be unified."
Can_86a17269,corrosion,DamageMechanism,5,corrosion | corrosion | corrosion | corrosion | corrosion,All these entities describe the process of corrosion with slight variations in wording but refer to the same underlying concept of material degradation due to chemical reactions.
Can_35683d76,graphitization,DamageMechanism,5,graphitization | graphitization | graphitization | graphitization | graphitization,"All these entities describe the same damage mechanism involving the formation of graphite in steel, affecting its properties and leading to potential failures."
Can_c35558d2,"startup, shutdown, and transient conditions",OperatingCondition,5,"start-up, shutdown, and transient conditions | startup and shutdown | startup phase | shutdown phase | startup or shutdown","These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts."
Can_ce90861d,erosion-corrosion,DamageMechanism,4,erosion-corrosion | erosion-corrosion | erosion-corrosion | erosion-corrosion,"All entities share the same name, type, and describe a similar damage mechanism involving the combined effects of erosion and corrosion, indicating they refer to the same concept."
Can_776f1b68,low alloy steels,Material,4,low alloy steels | low alloy steels | low alloy steels | low alloy steels,"These entities all refer to 'low alloy steels' with similar descriptions and characteristics, indicating they are the same material type."
Can_1f26262f,cracking,DamageMechanism,4,cracking | cracking | cracking | cracking,"These entities describe general cracking mechanisms and events, with overlapping descriptions and contexts."
Can_2b85c594,Stainless Steel,Material,4,stainless steel | stainless steel | SS | Stainless Steel,"All entities refer to stainless steel, a corrosion-resistant alloy, with descriptions that overlap significantly in terms of composition and characteristics."
Can_652d24b3,Heat Affected Zone (HAZ),Component,4,Heat Affected Zone (HAZ) | heat-affected zone | heat affected zone | weld heat affected zone,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details."
Can_e7cdea48,Hydrogen Induced Cracking (HIC),DamageMechanism,4,Hydrogen Induced Cracking (HIC) | Hydrogen Induced Cracking | hydrogen induced cracking | Hydrogen Induced Cracking,"All entities describe the same damage mechanism involving hydrogen-induced cracking in metals, with slight variations in description but consistent in type and context."
Can_b3e680a3,Magnetic Particle Testing,InspectionMethod,3,MT | MT inspection | MT examination,"All three entities refer to Magnetic Particle Testing, a method for detecting surface defects, and share similar descriptions and type hints."
Can_a1f38d34,eyebrow graphitization,DamageMechanism,3,eyebrow graphitization | eyebrow graphitization | eyebrow graphitization,"All entities share the same name and type, and their descriptions refer to the same phenomenon of graphite formation in heat affected zones, with slight variations in wording."
Can_3548ed18,850°F to 1025°F (441°C to 552°C),OperatingCondition,3,850°F to 1025°F (441°C to 552°C) | 1025oF (552oC) | 850oF (440oC),"These entities describe overlapping temperature ranges related to graphitization and embrittlement, suggesting they refer to the same operating condition."
Can_050548b6,bulging,Symptom,3,bulging | bulging | bulging,"All three entities describe 'bulging' as a deformation of tubes with similar causes and implications, fitting the same symptom category."
Can_d0a71d52,Ultrasonic Testing (UT),InspectionMethod,3,UT | Ultrasonic Testing (UT) | UT methods,"All entities refer to the same non-destructive testing method using ultrasonic waves, with slight variations in description and naming."
Can_d8492108,thermal fatigue,DamageMechanism,3,thermal fatigue | thermal fatigue | thermal fatigue,"All entities have the same name and type, and their descriptions are variations of the same concept, indicating they refer to the same entity."
Can_3b49d02c,D.N. French,Author,3,D.N. French | D.N. French | D.N. French,"All entities refer to the same author of the same book, with slight variations in description."
Can_f030900c,D.N. French,Author,3,D.N. French | D.N. French | D.N. French,"All entities refer to the same author of the same work, 'Microstructural Degradation', with no conflicting information."
Can_0b5f14fd,temperature,CriticalFactor,3,temperature | temperature | temperature,"These entities share the same name, type, and similar descriptions related to their influence on graphitization and spheroidization in steels."
Can_a6b2040f,low alloy steels,Material,3,low alloy steels | low alloy steels | low alloy steels,"These entities all refer to 'low alloy steels' with similar descriptions, indicating they are the same material type."
