canonical_id,canonical_name,member_id,member_name,member_desc,member_type,confidence_score,_cluster_id,resolved_action,resolution_rationale,source_ref
Can_7f3f4b34,,CanRep_Can_7f3f4b34,Calculation of Heater Tube Thickness in Petroleum Refineries,A standard for calculating the thickness of heater tubes in petroleum refineries.,Standard,,-1,kept_noise_global,Global noise preserved for manual review,
Can_3290e169,,CanRep_Can_3290e169,API Publication 581,A document titled 'Risk-Based Inspection - Base Resource Document' by the American Petroleum Institute.,ReferenceDocument,,34,kept,This entity represents a specific document by the American Petroleum Institute with a unique title and purpose.,
Can_d16df8a6,,CanRep_Can_d16df8a6,British Standard 7910,Guidance on methods for assessing the acceptability of flaws in fusion welded structures.,Standard,,10,kept,"This entity represents a specific standard, British Standard 7910, which is distinct from the organization that publishes it.",
Can_8ec5a823,,CanRep_Can_8ec5a823,British Standards Institution,"The organization responsible for publishing British standards, including British Standard 7910.",Organization,,10,kept,"This entity represents the British Standards Institution, an organization, which is distinct from any specific standard it publishes.",
Can_7ebf73bc,,CanRep_Can_7ebf73bc,2.25Cr-1Mo steel,"A type of low alloy steel used in thick wall reactor vessels, susceptible to temper embrittlement.",Material,,180,kept,This entity is distinct due to its specific composition and susceptibility to temper embrittlement.,
Can_e1e3db1c,,CanRep_Can_e1e3db1c,Austenitic stainless steels,"A type of stainless steel known for its austenitic structure, high corrosion resistance, and ability to form sigma phase, including 300 Series stainless steels.",Material,,171,kept,"This entity describes a specific type of stainless steel, which is distinct from the metallurgical structure described by the other entities.",
Can_06c233a8,Carbon steel,CanRep_Can_357dfd70,Carbon steels,"Steels primarily composed of carbon, susceptible to various metallurgical changes such as graphitization, spheroidization, strain aging, and brittle fracture.",Material,,169,merged,"Both entities refer to steel primarily composed of carbon, with similar descriptions and type hints, indicating they are the same material.",
Can_06c233a8,Carbon steel,CanRep_Can_3119bcf1,carbon steel,"A type of steel with carbon as the main alloying element, affected by various forms of corrosion and cavitation.",Material,,169,merged,"Both entities refer to steel primarily composed of carbon, with similar descriptions and type hints, indicating they are the same material.",
Can_6cd89512,,CanRep_Can_6cd89512,Aluminum,"A lightweight, corrosion-resistant metal used in various applications, including as a deoxidizer in steel production.",Material,,139,kept,Aluminum is a distinct material entity with a clear description and does not overlap with the other entities.,
Can_7d83f9cd,,CanRep_Can_7d83f9cd,Diethanolamine (DEA),"Diethanolamine, a chemical used in amine treating to remove H2S and CO2 from hydrocarbon streams.",Material,,2,kept,"Diethanolamine (DEA) is distinct from the other entities, with a unique name and description.",
Can_5538cdef,,CanRep_Can_5538cdef,Duplex stainless steels,"A family of stainless steels with a mixed austenitic-ferritic structure, including Alloys 2205, 2304, and 2507, known for susceptibility to 885°F embrittlement and sigma phase formation.",Material,,151,kept,"This entity specifically refers to 'Duplex stainless steels', a subset of stainless steels with unique properties, and should be kept distinct.",
Can_bb4259c5,,CanRep_Can_bb4259c5,Ferritic,"A type of metallurgical structure (ferrite) found in carbon and low alloy steels and many 400 series stainless steels, characterized by a body-centered cubic crystal structure.",MetallurgicalStructure,,146,kept,"This entity describes a metallurgical structure, which is distinct from the materials described by the other entities.",
Can_696d2f85,Ferritic Materials,CanRep_Can_19569b09,Ferritic Stainless Steels,"Stainless steels including Types 405, 409, 430, 442, and 446, characterized by a ferritic structure, susceptible to 885°F embrittlement and sigma phase formation at high temperatures.",Material,,146,merged,"These entities all describe materials with a ferritic structure, including stainless steels and low alloy steels, and share similar properties and applications.",
Can_696d2f85,Ferritic Materials,CanRep_Can_a259004a,Ferritic Steels,"Steels characterized by a ferritic metallurgical structure, including low alloy steels with chromium and molybdenum, often used for high temperature strength.",Material,,146,merged,"These entities all describe materials with a ferritic structure, including stainless steels and low alloy steels, and share similar properties and applications.",
Can_696d2f85,Ferritic Materials,En_87e68a05,ferritic materials,Materials such as carbon steel and low alloy steels that are prone to cracking in DMWs.,Material,,146,merged,"These entities all describe materials with a ferritic structure, including stainless steels and low alloy steels, and share similar properties and applications.",
Can_652d24b3,Heat Affected Zone (HAZ),CanRep_Can_5288ecab,Heat Affected Zone (HAZ),"The portion of the base metal adjacent to a weld, altered by welding heat, affecting its properties.",Component,,130,merged,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details.",
Can_652d24b3,Heat Affected Zone (HAZ),En_99a4ab93,heat-affected zone,"Zone adjacent to welds where graphitization can occur, forming weak graphite bands.",Component,,130,merged,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details.",
