raw_id,raw_name,raw_desc,resolved_exists,resolved_id,canonical_id,resolved_action,_cluster_id,notes
CanRep_Can_7f3f4b34,Calculation of Heater Tube Thickness in Petroleum Refineries,A standard for calculating the thickness of heater tubes in petroleum refineries.,True,CanRep_Can_7f3f4b34,Can_7f3f4b34,kept_noise_global,-1,
CanRep_Can_3290e169,API Publication 581,A document titled 'Risk-Based Inspection - Base Resource Document' by the American Petroleum Institute.,True,CanRep_Can_3290e169,Can_3290e169,kept,34,
CanRep_Can_d16df8a6,British Standard 7910,Guidance on methods for assessing the acceptability of flaws in fusion welded structures.,True,CanRep_Can_d16df8a6,Can_d16df8a6,kept,10,
CanRep_Can_8ec5a823,British Standards Institution,"The organization responsible for publishing British standards, including British Standard 7910.",True,CanRep_Can_8ec5a823,Can_8ec5a823,kept,10,
CanRep_Can_7ebf73bc,2.25Cr-1Mo steel,"A type of low alloy steel used in thick wall reactor vessels, susceptible to temper embrittlement.",True,CanRep_Can_7ebf73bc,Can_7ebf73bc,kept,180,
CanRep_Can_e1e3db1c,Austenitic stainless steels,"A type of stainless steel known for its austenitic structure, high corrosion resistance, and ability to form sigma phase, including 300 Series stainless steels.",True,CanRep_Can_e1e3db1c,Can_e1e3db1c,kept,171,
CanRep_Can_06c233a8,Carbon steel,"A type of steel primarily composed of carbon, susceptible to metallurgical changes and various forms of corrosion.",True,CanRep_Can_3119bcf1,Can_06c233a8,merged,169,
CanRep_Can_6cd89512,Aluminum,"A lightweight, corrosion-resistant metal used in various applications, including as a deoxidizer in steel production.",True,CanRep_Can_6cd89512,Can_6cd89512,kept,139,
CanRep_Can_7d83f9cd,Diethanolamine (DEA),"Diethanolamine, a chemical used in amine treating to remove H2S and CO2 from hydrocarbon streams.",True,CanRep_Can_7d83f9cd,Can_7d83f9cd,kept,2,
CanRep_Can_5538cdef,Duplex stainless steels,"A family of stainless steels with a mixed austenitic-ferritic structure, including Alloys 2205, 2304, and 2507, known for susceptibility to 885°F embrittlement and sigma phase formation.",True,CanRep_Can_5538cdef,Can_5538cdef,kept,151,
CanRep_Can_bb4259c5,Ferritic,"A type of metallurgical structure (ferrite) found in carbon and low alloy steels and many 400 series stainless steels, characterized by a body-centered cubic crystal structure.",True,CanRep_Can_bb4259c5,Can_bb4259c5,kept,146,
CanRep_Can_696d2f85,Ferritic Materials,"Materials characterized by a ferritic metallurgical structure, including stainless steels and low alloy steels, often used for high temperature strength and prone to specific types of embrittlement and cracking.",True,En_87e68a05,Can_696d2f85,merged,146,
CanRep_Can_652d24b3,Heat Affected Zone (HAZ),"The portion of the base metal adjacent to a weld, altered by welding heat, affecting its properties.",True,CanRep_Can_5288ecab,Can_652d24b3,merged,130,
CanRep_Can_185b2443,internal pressure,"Pressure resulting from hydrogen accumulation, contributing to crack development.",True,CanRep_Can_185b2443,Can_185b2443,kept_noise_global,-1,
CanRep_Can_fd330200,martensitic,"A metallurgical structure found in stainless steels, known for its high strength and hardness, typically found in some 400 series stainless steel.",True,CanRep_Can_fd330200,Can_fd330200,kept,170,
CanRep_Can_d2bae0eb,Martensitic stainless steel,"A type of stainless steel that includes Types 410, 410S, 416, 420, 440A, 440B, and 440C, known for its martensitic structure and prone to sigma phase formation at elevated temperatures.",True,CanRep_Can_d2bae0eb,Can_d2bae0eb,kept,170,
CanRep_Can_c32c2bf9,Methyldiethanolamine (MDEA),"Methyldiethanolamine, a chemical compound used in gas treatment processes to remove hydrogen sulfide and carbon dioxide.",True,CanRep_Can_c32c2bf9,Can_c32c2bf9,kept,2,
CanRep_Can_92f9a9b6,Monoethanolamine (MEA),"Monoethanolamine, a chemical compound used in gas treatment and as a building block for detergents.",True,CanRep_Can_0d719244,Can_92f9a9b6,merged,2,
CanRep_Can_f2f1c14e,Nickel base alloys,"A family of alloys containing nickel as a major alloying element (>30%), known for high temperature strength, corrosion resistance, and inspectable for cracks using UT and PT methods.",True,CanRep_Can_90723e5f,Can_f2f1c14e,merged,75,
CanRep_Can_a5a03a7f,sulfidation,A form of corrosion involving the reaction of a material with sulfur compounds.,True,CanRep_Can_a5a03a7f,Can_a5a03a7f,kept_noise_global,-1,
CanRep_Can_cf61553c,Acoustic Emission Testing,A technique used to monitor the release of energy from materials under stress and detect defects.,False,,,,,
CanRep_Can_93187b07,AUBT,"Automated ultrasonic backscatter testing, a nondestructive testing method using ultrasonic waves to detect flaws.",True,CanRep_Can_93187b07,Can_93187b07,kept,21,
CanRep_Can_80f189ac,BFW,"Boiler feed water, water that is fed into a boiler to generate steam.",True,CanRep_Can_80f189ac,Can_80f189ac,kept,9,
CanRep_Can_647a8ebf,C2,Chemical symbol referring to ethane or ethylene.,True,CanRep_Can_647a8ebf,Can_647a8ebf,kept,14,
CanRep_Can_aa6930bb,C3,Chemical symbol referring to propane or propylene.,True,CanRep_Can_aa6930bb,Can_aa6930bb,kept,14,
CanRep_Can_84c913b2,C4,Chemical symbol referring to butane or butylenes.,True,CanRep_Can_84c913b2,Can_84c913b2,kept,14,
CanRep_Can_7c1123d8,CH4,Chemical symbol for methane.,True,CanRep_Can_7c1123d8,Can_7c1123d8,kept,14,
CanRep_Can_38c384ec,CO,"Chemical symbol for both carbon monoxide and carbon dioxide, both colorless gases with distinct properties.",True,CanRep_Can_38c384ec,Can_38c384ec,kept,25,
CanRep_Can_57e1f6be,Charpy impact test,A standardized test to measure the toughness and fracture resistance of materials by assessing energy absorption and resistance to crack-like flaws.,True,En_549d480c,Can_57e1f6be,merged,120,
CanRep_Can_c81ede0f,deisobutanizer,A distillation column used to separate isobutane from other hydrocarbons.,True,CanRep_Can_c81ede0f,Can_c81ede0f,kept_noise_global,-1,
CanRep_Can_cd9d8669,Departure From Nucleate Boiling (DNB),"A condition where boiling transitions from nucleate to film boiling, reducing heat transfer efficiency.",True,CanRep_Can_cd9d8669,Can_cd9d8669,modified,97,
CanRep_Can_cd076f80,Eddy Current Testing,"Eddy Current Testing, a non-destructive testing method used to detect surface and sub-surface flaws in conductive materials.",False,,,,,
CanRep_Can_a1b5b424,FCC,"Fluid catalytic cracker, a process unit used in refining to convert heavy hydrocarbons into lighter products.",True,CanRep_Can_a1b5b424,Can_a1b5b424,kept_noise_global,-1,
CanRep_Can_c488325b,Field Metallographic Replication,"A technique for examining microstructures in the field, used to detect spheroidization.",True,CanRep_Can_c488325b,Can_c488325b,kept,92,
CanRep_Can_a060a895,water,"Water, a chemical compound with formula H2O, essential for life and used in various industrial applications.",True,CanRep_Can_a060a895,Can_a060a895,kept,42,
CanRep_Can_77abea9f,heavy cycle oil,"Heavy cycle oil (HCO), a type of oil used in refining processes and as a feedstock for further processing in refineries.",True,CanRep_Can_77abea9f,Can_77abea9f,kept,29,
CanRep_Can_8d91f498,HPS,"High pressure separator, a device used in the oil and gas industry to separate fluids at high pressure.",True,CanRep_Can_8d91f498,Can_8d91f498,kept_noise_global,-1,
CanRep_Can_00a8b4ae,Heat Stable Amine Salts (HSAS),"Heat stable amine salts, compounds formed in amine treating processes that are resistant to thermal degradation.",True,CanRep_Can_00a8b4ae,Can_00a8b4ae,kept,2,
CanRep_Can_56865264,IP,"Intermediate pressure, a term used to describe a specific range of pressure in industrial systems.",True,CanRep_Can_56865264,Can_56865264,kept_noise_global,-1,
CanRep_Can_85ea9258,IRIS,"Internal rotating inspection system, a method used for inspecting the internal surfaces of pipes, vessels, and equipment.",True,CanRep_Can_85ea9258,Can_85ea9258,kept_noise_global,-1,
CanRep_Can_1ee341e7,light coker gas oil,"Light coker gas oil (LCGO), a type of hydrocarbon product derived from the coking process.",True,CanRep_Can_1ee341e7,Can_1ee341e7,kept,28,
CanRep_Can_9c44ef74,LP,"Low pressure, a condition or specification in industrial processes.",True,CanRep_Can_9c44ef74,Can_9c44ef74,kept,61,
CanRep_Can_6e9bd0d6,LPS,"Low pressure separator, a process unit used to separate components at low pressure.",True,CanRep_Can_6e9bd0d6,Can_6e9bd0d6,kept,61,
CanRep_Can_b3e680a3,Magnetic Particle Testing,A non-destructive testing method for detecting surface and near-surface defects in ferromagnetic materials.,False,,,,,
CanRep_Can_b160aa4f,naphthenic acid corrosion,"Corrosion caused by naphthenic acids in crude oil, mitigated by higher molybdenum containing alloys.",True,En_771c8f3a,Can_b160aa4f,merged,68,
CanRep_Can_c3cea812,PMI,"Positive materials identification, a process used to verify the composition of metallic alloys.",True,CanRep_Can_c3cea812,Can_c3cea812,kept_noise_global,-1,
CanRep_Can_73be660e,Penetrant Testing,A non-destructive testing method used to detect surface-breaking defects in non-porous materials.,False,,,,,
CanRep_Can_3844ce1f,RFEC,"Remote field eddy current testing, a technique for detecting flaws in conductive materials.",True,CanRep_Can_3844ce1f,Can_3844ce1f,kept_noise_global,-1,
CanRep_Can_a9b24aee,RT,"Radiographic Testing, a non-destructive testing method using X-rays or gamma rays to inspect the internal structure of materials.",True,CanRep_Can_e506fc48,Can_a9b24aee,merged,56,
CanRep_Can_83d98615,sour water,"Water containing hydrogen sulfide and other sulfur compounds, often found in oil and gas processing.",True,CanRep_Can_83d98615,Can_83d98615,kept,42,
CanRep_Can_09d44f87,SWUT,"Shear wave ultrasonic testing, a non-destructive testing method using shear waves to detect flaws and internal defects in materials.",True,CanRep_Can_bfad8250,Can_09d44f87,merged,55,
CanRep_Can_e2ddc9e4,titanium,"A strong, lightweight, corrosion-resistant metal used in various industrial applications.",True,CanRep_Can_e2ddc9e4,Can_e2ddc9e4,kept,79,
CanRep_Can_d0a71d52,Ultrasonic Testing (UT),"Ultrasonic testing, a non-destructive testing technique using high-frequency sound waves to detect internal flaws, surface and embedded cracks.",True,CanRep_Can_a0e756ac,Can_d0a71d52,merged,58,
CanRep_Can_7f711d2e,VT,"Visual Testing, a non-destructive inspection technique used to assess surface conditions, including detection of oscillation or cyclical movement in small diameter piping.",True,CanRep_Can_efe61990,Can_7f711d2e,merged,70,
CanRep_Can_61be8afc,WFMT,"Wet Fluorescent Magnetic Particle Testing, a non-destructive testing method for detecting surface and near-surface defects.",True,CanRep_Can_61be8afc,Can_61be8afc,kept_noise_global,-1,
CanRep_Can_6d8f46c3,chemistry,"A critical factor affecting the occurrence of graphitization in steels, related to the chemical composition.",True,CanRep_Can_6d8f46c3,Can_6d8f46c3,kept_noise_global,-1,
CanRep_Can_6cf8b163,exposure time,"Duration of exposure to conditions that can lead to changes in materials, such as graphitization or spheroidization, influencing time to failure.",True,En_6400f727,Can_6cf8b163,merged,184,
CanRep_Can_f0f39843,brittle fracture,"A sudden rapid fracture under stress with little or no ductility or plastic deformation, often associated with temper embrittlement or strain aging.",True,CanRep_Can_adc6502d,Can_f0f39843,merged,235,
