canonical_id,canonical_name,canonical_type,n_members,member_sample,rationale
Can_7f3f4b34,,,3,CanRep_Can_7f3f4b34 | En_8044e01a | En_359c6cf6,
Can_3290e169,,,6,CanRep_Can_3290e169 | En_196eba56 | En_bf33e80f | En_0f21441c | En_50f29168 | En_b776d803,
Can_d16df8a6,,,4,CanRep_Can_d16df8a6 | En_2be7efdf | En_86ccdbc0 | En_3bcaad38,
Can_8ec5a823,,,4,CanRep_Can_8ec5a823 | En_0afd3f19 | En_1dea9a83 | En_4843f18a,
Can_7ebf73bc,,,5,CanRep_Can_7ebf73bc | En_c66e6828 | En_30553c6c | En_9cb94b6b | En_6cb05021,
Can_e1e3db1c,,,7,CanRep_Can_e1e3db1c | En_2c11f1f5 | En_1467cb1b | En_d8e1a100 | En_83cc9bb4 | En_aefa8dc4 | En_9e73941c,
Can_06c233a8,Carbon steel,Material,2,CanRep_Can_357dfd70 | CanRep_Can_3119bcf1,"Both entities refer to steel primarily composed of carbon, with similar descriptions and type hints, indicating they are the same material."
Can_6cd89512,,,4,CanRep_Can_6cd89512 | En_0351b17e | En_cdf9f803 | En_4b0e533d,
Can_7d83f9cd,,,3,CanRep_Can_7d83f9cd | En_ec8a5387 | En_9a8fd9d2,
Can_5538cdef,,,5,CanRep_Can_5538cdef | En_9f9aaf18 | En_780dcc46 | En_e285586d | En_3fdf2a32,
Can_bb4259c5,,,4,CanRep_Can_bb4259c5 | En_e5cd616f | En_988b9f74 | En_c4e052ab,
Can_696d2f85,Ferritic Materials,Material,3,CanRep_Can_19569b09 | CanRep_Can_a259004a | En_87e68a05,"These entities all describe materials with a ferritic structure, including stainless steels and low alloy steels, and share similar properties and applications."
Can_652d24b3,Heat Affected Zone (HAZ),Component,4,CanRep_Can_5288ecab | En_99a4ab93 | En_a6263bb6 | En_49c1ec96,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details."
Can_185b2443,,,3,CanRep_Can_185b2443 | En_4d23d2c0 | En_98cada1c,
Can_fd330200,,,3,CanRep_Can_fd330200 | En_80fc10b5 | En_436e82f4,
Can_d2bae0eb,,,4,CanRep_Can_d2bae0eb | En_1df907f7 | En_93d2eea2 | En_70b4ca68,
Can_c32c2bf9,,,4,CanRep_Can_c32c2bf9 | En_472d9921 | En_fa90205a | En_6bc9f6e2,
Can_92f9a9b6,Monoethanolamine (MEA),Material,2,CanRep_Can_0d719244 | En_755da59b,"Both entities refer to Monoethanolamine (MEA) with similar descriptions and purposes, indicating they are the same chemical compound."
Can_f2f1c14e,Nickel base alloys,Material,2,CanRep_Can_78e43615 | CanRep_Can_90723e5f,"Both entities refer to nickel-based alloys with overlapping descriptions and characteristics, suggesting they are the same material category."
Can_a5a03a7f,,,4,CanRep_Can_a5a03a7f | En_fd9a8770 | En_93abb6c2 | En_29fa2faf,
Can_cf61553c,Acoustic Emission Testing,InspectionMethod,2,CanRep_Can_4862523d | CanRep_Can_fabb02e8,"Both entities refer to acoustic emission methods used for inspection, with similar descriptions and purposes."
Can_93187b07,,,3,CanRep_Can_93187b07 | En_e3a0e26a | En_ec5df86a,
Can_80f189ac,,,3,CanRep_Can_80f189ac | En_8793f11a | En_ce24ef6a,
Can_647a8ebf,,,3,CanRep_Can_647a8ebf | En_b2a72b9c | En_d893c717,
Can_aa6930bb,,,3,CanRep_Can_aa6930bb | En_977a27f5 | En_54c85ac3,
Can_84c913b2,,,3,CanRep_Can_84c913b2 | En_6edcc442 | En_3a6a9432,
Can_7c1123d8,,,3,CanRep_Can_7c1123d8 | En_898fa2ef | En_46c3775f,
Can_38c384ec,,,3,CanRep_Can_38c384ec | En_8e66ff3f | En_3d422cb7,
Can_57e1f6be,Charpy impact test,InspectionMethod,3,CanRep_Can_f1ed6270 | En_4db1b211 | En_549d480c,"All entities refer to the Charpy impact test, a method for assessing material toughness, with slight variations in description but consistent in purpose and type."
Can_c81ede0f,,,3,CanRep_Can_c81ede0f | En_6a169fc9 | En_2b276ea3,
Can_cd9d8669,,,3,CanRep_Can_cd9d8669 | En_946730fd | En_896246bf,
Can_cd076f80,Eddy Current Testing,InspectionMethod,2,CanRep_Can_77c59b55 | En_989158fa,"Both entities refer to the same inspection method, Eddy Current Testing, with similar descriptions and type hints."
Can_a1b5b424,,,3,CanRep_Can_a1b5b424 | En_d8509674 | En_2dfa9ef3,
Can_c488325b,,,3,CanRep_Can_c488325b | En_1a1355eb | En_c4196a9b,
Can_a060a895,,,3,CanRep_Can_a060a895 | En_f34f1f60 | En_f953a966,
Can_77abea9f,,,3,CanRep_Can_77abea9f | En_5cbfd339 | En_5464e261,
Can_8d91f498,,,3,CanRep_Can_8d91f498 | En_72ca0a4f | En_1b563b32,
Can_00a8b4ae,,,3,CanRep_Can_00a8b4ae | En_d4eceaf9 | En_71c358ce,
Can_56865264,,,3,CanRep_Can_56865264 | En_f4ab142f | En_583d9159,
Can_85ea9258,,,3,CanRep_Can_85ea9258 | En_6eeed566 | En_f04c1c02,
Can_1ee341e7,,,3,CanRep_Can_1ee341e7 | En_cb54908e | En_e192c6ad,
Can_9c44ef74,,,3,CanRep_Can_9c44ef74 | En_d46213de | En_1e9bb50d,
Can_6e9bd0d6,,,3,CanRep_Can_6e9bd0d6 | En_17af04ad | En_99118b04,
Can_b3e680a3,Magnetic Particle Testing,InspectionMethod,3,CanRep_Can_59913a04 | En_e300b444 | En_dcb9b962,"All three entities refer to Magnetic Particle Testing, a method for detecting surface defects, and share similar descriptions and type hints."
Can_b160aa4f,naphthenic acid corrosion,DamageMechanism,2,CanRep_Can_737a6f70 | En_771c8f3a,"Both entities describe the same corrosion mechanism caused by naphthenic acids, with similar descriptions and type hints."
Can_c3cea812,,,3,CanRep_Can_c3cea812 | En_e5941652 | En_c974e2de,
Can_73be660e,Penetrant Testing,InspectionMethod,2,CanRep_Can_c5006344 | En_1acc8d36,"Both entities refer to the same non-destructive testing method, Penetrant Testing, with similar descriptions and type hints."
Can_3844ce1f,,,3,CanRep_Can_3844ce1f | En_c93845cb | En_a9390a48,
Can_a9b24aee,RT,InspectionMethod,2,CanRep_Can_e506fc48 | En_5e019a19,"Both entities refer to the same inspection method, Radiographic Testing, with similar descriptions and type hints."
Can_83d98615,,,3,CanRep_Can_83d98615 | En_2927c1a8 | En_08ce43de,
Can_09d44f87,SWUT,InspectionMethod,2,CanRep_Can_bfad8250 | En_44a59f0b,"Both entities refer to the same inspection method, SWUT, with similar descriptions and type hints, indicating they are the same entity."
Can_e2ddc9e4,,,3,CanRep_Can_e2ddc9e4 | En_4ad658b5 | En_0757ac83,
Can_d0a71d52,Ultrasonic Testing (UT),InspectionMethod,3,CanRep_Can_a4b51df3 | CanRep_Can_a0e756ac | En_6ba9490c,"All entities refer to the same non-destructive testing method using ultrasonic waves, with slight variations in description and naming."
Can_7f711d2e,VT,InspectionMethod,2,CanRep_Can_efe61990 | En_14df0196,"Both entities refer to Visual Testing (VT) as an inspection method, with overlapping descriptions indicating they are the same method applied in different contexts."
Can_61be8afc,,,3,CanRep_Can_61be8afc | En_f4634c12 | En_d5fa97a2,
Can_6d8f46c3,,,3,CanRep_Can_6d8f46c3 | En_c313c9cb | En_d2f03539,
Can_6cf8b163,exposure time,CriticalFactor,3,CanRep_Can_43a07530 | CanRep_Can_032fae0a | En_6400f727,"All entities refer to the duration of exposure to conditions affecting material properties, with similar descriptions and type hints, suggesting they represent the same concept."
Can_f0f39843,brittle fracture,FailureEvent,2,CanRep_Can_adc6502d | CanRep_Can_156a2e1a,Both entities refer to the same concept of 'brittle fracture' with similar descriptions. The slight difference in type_hint can be reconciled as they describe the same phenomenon.
Can_df1f945b,FCC units,ProcessUnit,2,CanRep_Can_ba88cd46 | En_7cae332a,"Both entities refer to Fluid Catalytic Cracking units in refineries with overlapping descriptions and the same type hint, indicating they are the same entity."
Can_cc91e969,catalytic reforming units,ProcessUnit,2,CanRep_Can_eeb82195 | CanRep_Can_8dc6eacf,"Both entities refer to catalytic reforming units in refineries, describing similar processes and potential issues, indicating they are the same entity."
Can_062323f3,coker units,ProcessUnit,2,CanRep_Can_34fe23c1 | CanRep_Can_2c06c4cc,"Both entities refer to the same type of refinery units used in oil processing, with overlapping descriptions and identical names, indicating they are the same entity."
Can_4af8a5a8,,,3,CanRep_Can_4af8a5a8 | En_7d800998 | En_5ca9c03d,
Can_03037f54,,,3,CanRep_Can_03037f54 | En_e1f0d931 | En_d45efe03,
Can_42b781ff,reactor,Component,2,CanRep_Can_b8288b18 | En_bd56ca91,"Both entities refer to reactors involved in chemical processing and monitoring temper embrittlement, with overlapping descriptions and purposes, suggesting they represent the same concept."
Can_47091bf5,Metallographic Examination,InspectionMethod,2,CanRep_Can_b81ae8c2 | CanRep_Can_8919636f,Both entities describe the same inspection method focused on microstructural examination using microscopy.
Can_8b0ed054,,,8,CanRep_Can_8b0ed054 | En_b5d3c2f6 | En_fc3fa4df | En_32ad6478 | En_d11fe65b | En_30908fc8 | En_0e0768c9 | En_24dd59f2,
Can_308d24a0,,,5,CanRep_Can_308d24a0 | En_6650723c | En_d1c91bae | En_e57487e0 | En_ec74910e,
Can_e3a50eea,,,6,CanRep_Can_e3a50eea | En_a3fe74d9 | En_92819572 | En_ef94159d | En_060364a4 | En_7ed22ac9,
Can_e107e5d5,,,3,CanRep_Can_e107e5d5 | En_7722f81d | En_0cd14815,
Can_9dd97a07,R.D. Port,Author,2,CanRep_Can_35a1e3b8 | CanRep_Can_0b19e171,"Both entities refer to the same author, R.D. Port, who is associated with different publications."
Can_aa5902d1,,,6,CanRep_Can_aa5902d1 | En_113d036e | En_a228b220 | En_e1fb7dbe | En_87c8ecad | En_f560f688,
Can_b089edf9,,,4,CanRep_Can_b089edf9 | En_721e183e | En_69d70a3e | En_b3ba4ac4,
Can_9575a342,,,3,CanRep_Can_9575a342 | En_5029659e | En_d4fc4be4,
Can_7151ca9c,,,3,CanRep_Can_7151ca9c | En_fbfcef0c | En_acd9bd7e,
Can_2d8fb481,,,3,CanRep_Can_2d8fb481 | En_600ed043 | En_632b11c8,
