"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_c4bd0eecf18e","En_d9cbe1b8","Can_2acbb9eb","has_metallurgical_structure","has_metallurgical_structure","Indicates the metallurgical/microstructural phase type (e.g., austenitic, ferritic, martensitic, or mixed) that characterizes a metal or alloy under specified conditions.","metallurgical_structure_relation","STRUCTURE","structural","0.96","Direction chosen as alloy → structure based on ""These alloys are characterized by an austenitic structure.""","The text explicitly states that the 300 Series austenitic stainless steels are characterized by an austenitic structure.","","These alloys are characterized by an austenitic structure.","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""AlloyScope: 300 Series stainless steels including Types 304, 304L, 304H, 309, 310, 316, 316L, 316H, 321, 321H, 347, and 347H""}","Austenitic stainless steels are characterized by an austenitic metallurgical structure."
"RelR_ccb0e0161188","Can_2acbb9eb","En_d9cbe1b8","occurs_in","occurs_in_material","Indicates that a microstructure, damage mechanism, process, or product phase occurs in or is present within a given material or alloy family.","phenomenon_occurrence_in_material_relation","SPATIALITY","occurrence","0.9","Direction chosen as structure → material to represent that the structure occurs within these steels.","Austenitic is defined as a structure normally found in 300 Series stainless steels, tying the structure to these alloys.","Complements the alloy→structure relation by capturing where the structure is typically present.","a term that refers to a type of metallurgical structure (austenite) normally found in 300 Series stainless steels","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": ""normally"", ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""AlloyScope: 300 Series stainless steels""}","The austenitic structure is normally found in 300 Series austenitic stainless steels."
"RelR_d3bbaeb2df23","Can_0aec2541","Can_2acbb9eb","has_metallurgical_structure","has_metallurgical_structure","Indicates the metallurgical/microstructural phase type (e.g., austenitic, ferritic, martensitic, or mixed) that characterizes a metal or alloy under specified conditions.","metallurgical_structure_relation","STRUCTURE","structural","0.93","Direction chosen as duplex stainless steel family → constituent structure type.","The definition of duplex stainless steel states they contain a mixed austenitic-ferritic structure, implying austenitic is one of the phases present.","","a family of stainless steels that contain a mixed austenitic-ferritic structure","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""StructureType: mixed austenitic-ferritic""}","Duplex stainless steels have an austenitic component in their mixed austenitic-ferritic structure."
"RelR_cc53169ea6f4","Can_0aec2541","Can_449bd7c2","has_metallurgical_structure","has_metallurgical_structure","Indicates the metallurgical/microstructural phase type (e.g., austenitic, ferritic, martensitic, or mixed) that characterizes a metal or alloy under specified conditions.","metallurgical_structure_relation","STRUCTURE","structural","0.93","Direction chosen as duplex stainless steel family → constituent structure type.","The same definition indicates ferritic is the other phase in the mixed austenitic-ferritic structure of duplex stainless steels.","","a family of stainless steels that contain a mixed austenitic-ferritic structure","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""StructureType: mixed austenitic-ferritic""}","Duplex stainless steels have a ferritic component in their mixed austenitic-ferritic structure."
"RelR_c426520a3c91","Can_449bd7c2","Can_0aec2541","occurs_in","occurs_in_material","Indicates that a microstructure, damage mechanism, process, or product phase occurs in or is present within a given material or alloy family.","phenomenon_occurrence_in_material_relation","SPATIALITY","occurrence","0.86","Modeled as structure → material to mirror the stated occurrence of ferritic within the duplex mixed structure.","By describing duplex stainless steels as having a mixed austenitic-ferritic structure, the text implies the ferritic phase is present in these alloys.","Redundant with the duplex→ferritic structural relation but captures the inverse perspective (where ferritic is found).","a family of stainless steels that contain a mixed austenitic-ferritic structure","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""StructureContext: part of mixed austenitic-ferritic phase balance""}","Ferritic structure occurs as one phase within duplex stainless steels."
"RelR_7c9bc782fce9","Can_2acbb9eb","Can_0aec2541","occurs_in","occurs_in_material","Indicates that a microstructure, damage mechanism, process, or product phase occurs in or is present within a given material or alloy family.","phenomenon_occurrence_in_material_relation","SPATIALITY","occurrence","0.86","Modeled as structure → material to represent the presence of austenitic phase in duplex stainless steels.","The description of duplex stainless steels as having a mixed austenitic-ferritic structure indicates austenitic is one of the phases present.","Inverse perspective of the duplex→austenitic structural relation, included for coverage of where the austenitic phase is found.","a family of stainless steels that contain a mixed austenitic-ferritic structure","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""StructureContext: part of mixed austenitic-ferritic phase balance""}","Austenitic structure occurs as one phase within duplex stainless steels."
"RelR_96a7cdcaa41e","En_d9cbe1b8","Can_0aec2541","associated_with","has_similar_microstructure_to","Indicates that two material classes are conceptually related because they can exhibit similar or analogous microstructural features under certain conditions.","microstructure_similarity_relation","STRUCTURE","structural","0.55","Using duplex stainless steel entity to stand in for the duplex (austenitic-ferritic) microstructure mentioned for welds of 300 series stainless steels.","The text states that welds of 300 series stainless steels may exhibit a duplex structure, and duplex stainless steels are defined by a duplex (austenitic-ferritic) structure.","Relation created mainly to capture that welds of austenitic stainless steels can show a duplex (austenitic-ferritic) microstructure; semantic mapping to the duplex stainless steel family is approximate.","The welds of 300 series stainless steels may also exhibit a duplex structure.","Ch_000003","{""TemporalQualifier"": null, ""SpatialQualifier"": ""in welds of 300 Series stainless steels"", ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": ""may"", ""CausalHint"": null, ""LogicalMarker"": ""may"", ""OtherQualifier"": ""MicrostructureContext: weld metal/heat-affected zone duplex (austenitic-ferritic) structure""}","Welds of austenitic stainless steels may exhibit a duplex-type (austenitic-ferritic) structure, linking them conceptually to duplex stainless steels."
"RelR_caa4eec09380","En_d0d2d7c7","En_7ecdae42","occurs_in","occurs_in_material","Indicates that a microstructure, damage mechanism, process, or product phase occurs in or is present within a given material or alloy family.","phenomenon_occurrence_in_material_relation","SPATIALITY","occurrence","0.38","Text states that the link-up of cracks occurs on different planes in steels; low alloy steel is a type of steel mentioned in the same definitional context.","The chunk explains HIC as stepwise internal cracks linking hydrogen blisters ""in the metal"" and later notes this link-up ""in steels"". Low alloy steel is defined in the same section as a family of steels, so HIC can reasonably be inferred to occur in low alloy steels, though this is not explicitly stated.","Relation added mainly to capture that HIC is a cracking mechanism relevant to steels, with low alloy steel treated as a representative steel family. Semantics somewhat generic; confidence reduced because the text does not explicitly name low alloy steels as HIC-susceptible.","The link-up of these cracks on different planes in steels has been referred to as stepwise cracking to characterize the nature of the crack appearance.","Ch_000004","{""TemporalQualifier"": null, ""SpatialQualifier"": ""on different planes in the metal / steels; may connect to the metal surface"", ""OperationalConstraint"": ""no externally applied stress is needed for formation of HIC"", ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": ""because of internal pressure resulting from the accumulation of hydrogen"", ""LogicalMarker"": null, ""OtherQualifier"": ""CrackMechanism: stepwise internal cracks that connect adjacent hydrogen blisters; LinkMechanism: transgranular plastic shear""}","Hydrogen Induced Cracking (HIC) is described as a cracking mechanism that occurs in steels, which plausibly includes low alloy steels as a subset."
"RelR_862422bffa70","En_a38530be","En_24fd3367","is_alternative_to","is_functional_alternative_to","Indicates that two materials or chemicals can serve the same functional role in a given application and may be substituted for one another.","functional_substitution_relation","USAGE","functional_similarity","0.55","Direction is arbitrary; the relation is essentially symmetric, capturing that both chemicals are used for the same amine treating purpose.","The chunk defines both methyldiethanolamine (MDEA) and monoethanolamine (MEA) with the same functional description: each is 'used in amine treating to remove H2S and CO2 from hydrocarbon streams', implying they are functionally similar and potentially interchangeable in that application.","Relation created to capture that these two amine treating chemicals share the same described use; semantics are approximated as an alternative/substitute relation since no explicit comparison wording is given.","Methyldiethanolamine (MDEA) – used in amine treating to remove H2S and CO2 from hydrocarbon streams. Monoethanolamine (MEA) – used in amine treating to remove H2S and CO2 from hydrocarbon streams.","Ch_000005","{""TemporalQualifier"": null, ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": null, ""LogicalMarker"": null, ""OtherQualifier"": ""ApplicationContext: amine treating of hydrocarbon streams for H2S and CO2 removal""}","Methyldiethanolamine and monoethanolamine are both used in amine treating to remove H2S and CO2 from hydrocarbon streams, indicating they serve similar functional roles and can be alternatives to each other."
"RelR_d39cfe6239e1","Can_0441bbd6","Can_2acbb9eb","has_metallurgical_structure","has_metallurgical_structure","Indicates the metallurgical/microstructural phase type (e.g., austenitic, ferritic, martensitic, or mixed) that characterizes a metal or alloy under specified conditions.","metallurgical_structure_relation","STRUCTURE","structural","0.86","Direction chosen as alloy family (stainless steel) having a specific metallurgical structure category (austenitic).","The text states that stainless steels have four categories characterized by metallurgical structure at room temperature, listing austenitic among them.","","four categories of stainless steels that are characterized by their metallurgical structure at room temperature: austenitic","Ch_000006","{""TemporalQualifier"": ""at room temperature"", ""SpatialQualifier"": null, ""OperationalConstraint"": null, ""ConditionExpression"": null, ""UncertaintyQualifier"": null, ""CausalHint"": ""characterized by"", ""LogicalMarker"": null, ""OtherQualifier"": ""CategoryType: stainless steel category""}","Stainless steels are categorized based on having an austenitic metallurgical structure at room temperature."
