"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_34cc144f0893","Can_7f9d935a","En_f45a9343","has_stages","has_life_cycle_stage","Indicates that a life cycle or multi-stage biological process includes the object as one of its constituent life stages (e.g., egg, larva, pupa, adult).","life_cycle_stage_composition_relation","COMPOSITION","composition","0.96","Life cycle as a process composed of several stages collected in the 'stages of the butterfly's life cycle' entity.","The text explicitly refers to 'the stages of the butterfly's life cycle' when discussing the life cycle.","","we will explore the stages of the butterfly's life cycle and the incredible journey it takes to reach adulthood.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","The butterfly life cycle consists of distinct developmental stages."
"RelR_e26b138400c4","En_f45a9343","Can_a1cdcba4","includes_stage","has_member","Indicates that the subject is a collection or set that includes the object as one of its members.","collection_membership_relation","ASSOCIATION","membership","0.98","Direction chosen from stages collection to specific stage.","The text states that the first stage of a butterfly's life cycle is the egg stage.","","The first stage of a butterfly's life cycle is the egg stage.","Ch_000001","{
 ""TemporalQualifier"": ""first in sequence"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""OrderNote: explicitly identified as the first stage""
}","The collection of life cycle stages includes the egg stage as the first stage."
"RelR_90f6d25010b7","En_f45a9343","Can_63faab69","includes_stage","has_member","Indicates that the subject is a collection or set that includes the object as one of its members.","collection_membership_relation","ASSOCIATION","membership","0.9","Larva mentioned as one of the stages in the sequence.","The sequence 'From egg to larva to pupa to adult butterfly' lists larva as a life cycle stage.","Larva is represented by 'caterpillar (larval stage of butterfly)'.","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""second in sequence"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""OrderNote: appears second in the listed stages""
}","The life cycle stages set includes the larval (caterpillar) stage."
"RelR_7519e52960f9","En_f45a9343","Can_92ae16e5","includes_stage","has_member","Indicates that the subject is a collection or set that includes the object as one of its members.","collection_membership_relation","ASSOCIATION","membership","0.9","Pupa appears as the third element in the sequence of stages.","The text lists pupa among the stages from egg to adult butterfly.","Pupa stage is the 'pupa stage' entity.","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""third in sequence"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""OrderNote: appears third in the listed stages""
}","The life cycle stages collection includes the pupa stage."
"RelR_796d1a3aea55","En_f45a9343","Can_0e72203e","includes_stage","has_member","Indicates that the subject is a collection or set that includes the object as one of its members.","collection_membership_relation","ASSOCIATION","membership","0.9","Adult butterfly is presented as the final stage in the sequence.","The text ends the stage sequence with 'adult butterfly'.","Adult butterfly corresponds to the 'adult butterfly life stage' entity.","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""final in sequence"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""OrderNote: implied final stage""
}","The life cycle stages collection includes the adult butterfly life stage."
"RelR_8794518bc51a","Can_a1cdcba4","Can_63faab69","precedes","precedes_in_life_cycle","Indicates that one biological life-cycle stage temporally precedes and developmentally leads into another stage within the same organism's life cycle.","developmental_stage_order_relation","TEMPORALITY","temporal_order","0.94","Direction chosen from earlier developmental stage to later one.","The phrase 'From egg to larva' indicates temporal progression from egg stage to larval stage.","Also implicitly indicates developmental transition, not just ordering.","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""early life stages"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""from"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""TransitionType: developmental progression""
}","The egg stage occurs before and develops into the larval (caterpillar) stage."
"RelR_97ce9169b13a","Can_63faab69","Can_92ae16e5","precedes","precedes_in_life_cycle","Indicates that one biological life-cycle stage temporally precedes and developmentally leads into another stage within the same organism's life cycle.","developmental_stage_order_relation","TEMPORALITY","temporal_order","0.9","Standard butterfly metamorphosis order, also reflected in text sequence.","The middle part of the sequence 'egg to larva to pupa to adult' shows larva preceding pupa.","Developmental transition implied though not fully elaborated.","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""intermediate life stages"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""TransitionType: developmental progression""
}","The larval (caterpillar) stage occurs before and develops into the pupa stage."
"RelR_e56543a37161","Can_92ae16e5","Can_0e72203e","precedes","precedes_in_life_cycle","Indicates that one biological life-cycle stage temporally precedes and developmentally leads into another stage within the same organism's life cycle.","developmental_stage_order_relation","TEMPORALITY","temporal_order","0.9","Pupa is the immediate predecessor of adult in the sequence.","The sequence ends with 'pupa to adult butterfly', indicating order.","Captures metamorphosis completion from pupa to adult.","From egg to larva to pupa to adult butterfly, this process is filled with wonder and beauty.","Ch_000001","{
 ""TemporalQualifier"": ""late life stages"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""TransitionType: metamorphosis completion""
}","The pupa stage occurs before and develops into the adult butterfly life stage."
"RelR_7490422f5bab","Can_d81ff7bc","Can_7f9d935a","undergoes_process","participates_in_biological_process","Connects an organism or life stage to a biological process in which it participates, contributes, or which it undergoes as part of its life cycle or functional role.","biological_process_participation_relation","AGENCY","participation","0.95","Subject is the organisms (butterflies) undergoing the life cycle process.","The text states that butterflies 'undergo a remarkable transformation throughout their life cycle'.","","Butterflies are fascinating creatures that undergo a remarkable transformation throughout their life cycle.","Ch_000001","{
 ""TemporalQualifier"": ""throughout their life"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""ProcessNature: complete metamorphosis""
}","Butterflies undergo the butterfly life cycle as a transformative process."
"RelR_7d918f9798db","Can_36b8bc0d","Can_d81ff7bc","is_subclass_of","is_subtype_of","Indicates that the subject represents a more specific subtype or subset of the object within a taxonomic or categorical hierarchy.","taxonomic_hierarchy_relation","IDENTITY","taxonomy","0.88","Direction from specific group (females) to broader class (butterflies).","By definition, 'Female butterflies' are female individuals within the general group 'butterflies'.","Not explicitly spelled out, but strongly implied linguistically.","Female butterflies lay their eggs on specific host plants that will provide food for the emerging larvae.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""implied rather than stated"",
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Sex: female""
}","Female butterflies are a subset of butterflies as a whole."
