Random_ID,Problem_Statement,Resolution_Statement,
1497B239-424B-403B-A58B-00008B9098F0,CALL FOR THE UNIT NOT STARTING. FOUND A  DEAD BATTERY,REPLACED THE BATTERY,GWS
53E3A449-EBD3-4EE0-9309-00020535AE78,CALL FOR UNIT NOT CHARGING- FOUND THE CHARGER FAILED,REPLACED THE CHARGER,ZZD
61BE1ADC-FAA0-4322-A011-000224531574,o-ring for boss fitting at drive motor has ruptured                                                                                     ,removed fitting and replaced torn o-ring.                           cleaned oil spill                                                   ,HO
B49D4E42-8994-46D8-8641-000234CDA205,"GEN NOT WORKING, KEN W/ GENIE ADVISED TO CHANGE RESISTOR AND REPLACE POT SWITCH INSIDE BOX.                                             ",REPLACED PARTS AS ADVISED AND RESET NEW REOSTATE. UNIT NOW WORKING.                                                                     ,GWS
F0AE6037-1E0B-4AAF-A4D7-0002EF7D4F95,engine stalling; see Claim 522888.0                                 Needed to replace fuses                                             ,replaced 2 fuses and tested fine                                                                                                        ,EZZ
509279A5-6B1C-4B3C-8750-00030BF8DAD5,UNIT IS NOT WORKING               FOUND FAULTY LIMIT SWITCH,REPLACED THE SWITCH,EZL
097F59CF-CCC9-4CE8-8E12-00032122C51A,EGR TUBE BROKEN AT FLANGE.,"REPLACED TUBE AND GASKET. RAN AND CHECKED FOR EXHAUST LEAKS, OK. THESE SAME PARTS WERE REPLACED BACK ON 5/11/17, REFER INVOICE #5000869352.",PDM
80319764-D8D3-43D7-B2E1-0003864FAA67,no platform controls                                                bad control board                                                   ,replaced pcba                                                                                                                           ,EP
D9A76162-0EAD-4F4E-AF2B-0005DD9E0A2A,"FRONT DIFF IS MAKING OIL, FRONT DIFF BLEW OUT SNAP RING INTERNALLY, REMOVED ONE SIDE AND FOUND DIFF TO BE  NO GOOD SNAP RING BLEW APART CAUSING DAMAGE TO CASE.",REMOVED DIFF AND REPLACED WITH COMPLETE UNIT.,MZ
66D0521C-F7C8-46DC-A1CC-000625925672,oil leak                                                            o ring on main control valve                                        ,replaced o ring at main control valve                                                                                                   ,HO
A9C7EC9C-8529-4300-A6E7-0006E1AC9500,fuel pump float is bad stuck doesn't work                           Fuel sending unit is bad                                            ,Installed new fuel sending unit.                                                                                                        ,MZ
