"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_3849b7be6e41","Can_d6b2734a","Can_c452a54f","is_subtype_of","is_subtype_of","Indicates that the subject concept is a more specific subtype or category within the broader class represented by the object.","hierarchical_category_relation","IDENTITY","hierarchy","0.94","Direction chosen from specific narrative form (urban legends) to broader category (modern folklore).","The text explicitly calls urban legends 'a fascinating aspect of modern folklore', indicating they are part of or a type of modern folklore.","","Urban legends have been a fascinating aspect of modern folklore for centuries.","Ch_000001","{
 ""TemporalQualifier"": ""for centuries"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Characterization: fascinating aspect""
}","Urban legends are presented as an aspect or subset of modern folklore."
"RelR_d56a4bacbf85","Can_8330f9b7","Can_d6b2734a","is_theme_of","is_theme_of","Indicates that the subject is a central, recurring, or underlying theme, motif, or emotional focus within the object narrative, legend, or narrative genre.","narrative_theme_relation","CONTENT","content-theme","0.9","Direction from specific motif (haunted houses) to narrative type (urban legends) as the stories featuring that motif.","The phrase 'From haunted houses to mysterious creatures, urban legends...' lists haunted houses as example material that urban legends are about.","","From haunted houses to mysterious creatures, urban legends take on a life of their own...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""from"",
 ""OtherQualifier"": ""Role: example motif in legends""
}","Haunted houses are given as a thematic example of content featured in urban legends."
"RelR_0cba31ba724d","Can_1dd2f021","Can_d6b2734a","is_theme_of","is_theme_of","Indicates that the subject is a central, recurring, or underlying theme, motif, or emotional focus within the object narrative, legend, or narrative genre.","narrative_theme_relation","CONTENT","content-theme","0.9","Direction from entity type (mysterious creatures) to narrative form (urban legends) that include them.","Mysterious creatures are listed alongside haunted houses as examples in the context of urban legends, implying legends often concern such creatures.","","From haunted houses to mysterious creatures, urban legends take on a life of their own...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""from"",
 ""OtherQualifier"": ""Role: example motif in legends""
}","Mysterious creatures are presented as example subjects or motifs featured within urban legends."
"RelR_a8c302701e53","Can_d6b2734a","Can_fff1b8f8","circulated_in","circulates_within","Indicates that a narrative or information item is shared and transmitted within a particular social group or community.","narrative_dissemination_relation","COMMUNICATION","dissemination","0.96","Direction from stories (urban legends) to social groups (communities) where they circulate.","The text states that urban legends 'are shared and retold in communities both large and small', describing their circulation context.","","urban legends take on a life of their own as they are shared and retold in communities both large and small.","Ch_000001","{
 ""TemporalQualifier"": ""passed down through generations"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""as"",
 ""OtherQualifier"": ""CommunitySize: both large and small""
}","Urban legends are disseminated by being shared and retold within communities."
"RelR_177460eaf6b3","Can_d6b2734a","Can_fff1b8f8","transmitted_across","circulates_within","Indicates that a narrative or information item is shared and transmitted within a particular social group or community.","narrative_dissemination_relation","COMMUNICATION","transmission","0.78","Chosen to capture the intergenerational transmission of legends via communities; communities are implied carriers.","The text notes 'These tales, often passed down through generations', in the same context where sharing and retelling occur in communities.","Relation primarily created to preserve temporal and intergenerational transmission context.","These tales, often passed down through generations, capture the imagination...","Ch_000001","{
 ""TemporalQualifier"": ""through generations"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""often"",
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""TransmissionMode: oral/retelling""
}","Urban legends are transmitted across generations within communities."
"RelR_1e4c8fc43f9e","Can_1c1217ea","Can_d6b2734a","concerns","is_about","Indicates that the subject entity (typically a text, concept, or discussion) has the object entity as its primary topic or focus.","topical_aboutness_relation","ASSOCIATION","aboutness","0.92","Direction from abstract topic (origins) to the phenomenon whose origins are being considered (urban legends).","The phrase 'origins of urban legends' grammatically indicates that the origins topic is about urban legends.","","we will explore the origins of urban legends, their impact on society, and why they continue to endure.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""of"",
 ""OtherQualifier"": null
}","The concept 'origins of urban legends' specifically pertains to how urban legends begin and develop."
"RelR_495d10a97fd3","Can_d6b2734a","En_0fc23d88","produces_effect","has_impact_on","The subject has a social, cultural, or other impact on the object.","causal_effect_relation","CAUSALITY","causal-effect","0.86","Direction chosen from cause/source (urban legends) to resulting effect concept (impact on society).","The essay will explore 'their impact on society', where 'their' refers to urban legends, implying legends bring about social impacts.","","we will explore the origins of urban legends, their impact on society, and why they continue to endure.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""on society"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""impact"",
 ""LogicalMarker"": ""and"",
 ""OtherQualifier"": null
}","Urban legends have an impact on society, influencing social attitudes or behaviors."
"RelR_3dee0e53fc5e","Can_d6b2734a","En_c30532e4","exhibits","has_attribute","Indicates that the subject entity is characterized by or possesses the attribute or characteristic represented by the object node.","attribute_relation","ATTRIBUTE","property","0.84","Direction from phenomenon (urban legends) to abstract dynamic (their endurance).","The phrase 'why they continue to endure' refers back to urban legends, attributing endurance as a characteristic dynamic.","","we will explore the origins of urban legends, their impact on society, and why they continue to endure.","Ch_000001","{
 ""TemporalQualifier"": ""continue to endure"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""why"",
 ""LogicalMarker"": ""why"",
 ""OtherQualifier"": null
}","Urban legends are described as continuing to endure over time."
"RelR_3df4c2f3648a","Can_d6b2734a","Can_fff1b8f8","influences","influences","Indicates that the subject exerts an influence or impact on the properties, behavior, or development of the object.","influence_relation","CAUSALITY","influence","0.74","Mapped 'people around the world' to communities as the nearest resolved social-group entity.","Urban legends 'capture the imagination and curiosity of people around the world'; people are the members of communities through which legends circulate.","Slight abstraction: using 'communities' to stand in for globally distributed people.","These tales, often passed down through generations, capture the imagination and curiosity of people around the world.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""around the world"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""capture"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""AffectiveImpact: imagination and curiosity""
}","Urban legends influence people within communities by capturing their imagination and curiosity."
"RelR_c9421dbb7623","En_fd450d70","Can_1c1217ea","discusses","is_about","Indicates that an information-bearing entity (such as an essay, report, or narrative) is about or thematically focused on the object topic or entity.","document_topic_relation","ASSOCIATION","aboutness","0.96","Direction from document (essay) to topic (origins of urban legends).","The sentence 'In this essay, we will explore the origins of urban legends...' explicitly sets the essay’s scope.","","In this essay, we will explore the origins of urban legends, their impact on society, and why they continue to endure.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""will (future intention)"",
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""RhetoricalRole: essay objective""
}","The essay states it will explore the origins of urban legends as one of its main topics."
