"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_44a2aebf98c5","Can_4ec3a77a","Can_7d3523cb","transforms","influences","Indicates that the subject exerts a causal or shaping effect on the object (e.g., one factor influencing behaviors, perceptions, relationships, or communication patterns).","social_media_impact_relation","CAUSALITY","causal influence","0.95","Direction chosen as social media acting on patterns of human communication.","The text states that social media has revolutionized the way we communicate, indicating a transformative impact on human communication.","","Social media has revolutionized the way we communicate in today's digital age.","Ch_000001","{
 ""TemporalQualifier"": ""in today's digital age"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""has revolutionized"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Context: contemporary digital-technology-dependent society""
}","Social media fundamentally transforms human communication in contemporary society."
"RelR_1bc13c763423","En_1968ffbc","Can_7d3523cb","occurs_in","provides_era_context_for","Links a historical or societal era to a phenomenon or practice that is situated within that era as its contextual backdrop.","era_context_relation","TEMPORALITY","contextual","0.72","Using 'occurs_in' to encode that the described mode of communication is specifically framed as belonging to today's digital age.","The phrase ties the way we communicate explicitly to 'today's digital age', contextualizing contemporary communication within this era.","Relation mainly encodes temporal/era context; borderline between context and intrinsic property.","the way we communicate in today's digital age.","Ch_000001","{
 ""TemporalQualifier"": ""today's era of widespread digital technologies"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""EraType: contemporary digital era""
}","Human communication in contemporary society is situated within today's digital age."
"RelR_7c8985bb4d69","Can_4ec3a77a","En_b08d1fe4","shapes","influences","Indicates that the subject exerts a causal or shaping effect on the object (e.g., one factor influencing behaviors, perceptions, relationships, or communication patterns).","social_media_impact_relation","CAUSALITY","influence","0.93","Direction chosen as social media influencing relationships, not vice versa.","The text notes that social media shapes our relationships, explicitly attributing influence.","","shaping our relationships, behaviors, and even our perceptions of the world","Ch_000001","{
 ""TemporalQualifier"": ""in today's digital age"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""shaping"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Scope: interpersonal and social relationships broadly""
}","Social media shapes interpersonal relationships."
"RelR_cfb899503bce","Can_4ec3a77a","En_d7a31a15","shapes","influences","Indicates that the subject exerts a causal or shaping effect on the object (e.g., one factor influencing behaviors, perceptions, relationships, or communication patterns).","social_media_impact_relation","CAUSALITY","influence","0.93","Behaviors are treated as outcomes influenced by social media.","The same list indicates social media is 'shaping our ... behaviors', showing influence on actions.","","shaping our relationships, behaviors, and even our perceptions of the world","Ch_000001","{
 ""TemporalQualifier"": ""in today's digital age"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""shaping"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Social media influences and shapes human behaviors."
"RelR_5d3fe8f7f5e6","Can_4ec3a77a","En_f3db2b2b","shapes","influences","Indicates that the subject exerts a causal or shaping effect on the object (e.g., one factor influencing behaviors, perceptions, relationships, or communication patterns).","social_media_impact_relation","CAUSALITY","influence","0.94","Perceptions are framed as being molded by social media.","The text explicitly says social media shapes 'our perceptions of the world around us'.","","shaping our relationships, behaviors, and even our perceptions of the world around us.","Ch_000001","{
 ""TemporalQualifier"": ""in today's digital age"",
 ""SpatialQualifier"": ""regarding the world around us"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""shaping"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Social media shapes how individuals perceive and interpret the world."
"RelR_f236d6b32f97","Can_4ec3a77a","En_cc76067a","impacts","has_impact_on","Indicates that the subject has a causal or influential effect on the state or outcome of the object, leading to positive, negative, or mixed consequences.","social_media_impact_relation","CAUSALITY","impact","0.95","Social media is the agent; society is the affected collective.","The passage refers to 'the positive and negative effects it has had on our society', where 'it' is social media.","","examine both the positive and negative effects it has had on our society.","Ch_000001","{
 ""TemporalQualifier"": ""in contemporary digital society"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""effects it has had"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""EffectPolarity: both positive and negative""
}","Social media has both positive and negative impacts on society as a whole."
"RelR_4dc1efa0fc34","Can_4ec3a77a","En_98651580","causes","has_impact_on","Indicates that the subject has a causal or influential effect on the state or outcome of the object, leading to positive, negative, or mixed consequences.","social_media_impact_relation","CAUSALITY","causal","0.9","Positive effects are treated as outcomes caused by social media.","The essay will examine 'the positive ... effects it has had', indicating social media is the source of positive effects.","","explore the various ways in which social media has influenced communication and examine both the positive ... effects it has had","Ch_000001","{
 ""TemporalQualifier"": ""over time in contemporary society"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""implied evaluation; not all observers may agree on what is positive"",
 ""CausalHint"": ""effects it has had"",
 ""LogicalMarker"": ""both (paired with negative effects)"",
 ""OtherQualifier"": ""EffectDomain: communication and broader society""
}","Social media gives rise to various positive effects on communication and society."
"RelR_ca505435b3c3","Can_4ec3a77a","En_8cb62537","causes","has_impact_on","Indicates that the subject has a causal or influential effect on the state or outcome of the object, leading to positive, negative, or mixed consequences.","social_media_impact_relation","CAUSALITY","causal","0.9","Negative effects are likewise outcomes attributable to social media.","The text pairs 'positive and negative effects it has had', with 'it' referring to social media.","","examine both the positive and negative effects it has had on our society.","Ch_000001","{
 ""TemporalQualifier"": ""over time in contemporary society"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""implied; degree and nature of harms may be debated"",
 ""CausalHint"": ""effects it has had"",
 ""LogicalMarker"": ""both (paired with positive effects)"",
 ""OtherQualifier"": ""EffectDomain: communication and broader society""
}","Social media also causes various negative effects on communication and society."
"RelR_d408b4337a07","Can_4ec3a77a","En_9617c57e","enables","enables","Subject makes possible or substantially facilitates the existence, occurrence, use, or spread of the object (e.g., a capability, behavior, content, or impact).","enablement_relation","CAUSALITY","capability","0.96","Direction is from the platform (social media) to the connectivity capability it provides.","The sentence calls this ability 'one of the most significant impacts of social media on communication'.","","One of the most significant impacts of social media on communication is the ability to connect with others regardless of physical distance.","Ch_000001","{
 ""TemporalQualifier"": ""in today's digital age"",
 ""SpatialQualifier"": ""regardless of physical distance between users"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""impacts of social media on communication is the ability"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Significance: described as one of the most significant impacts""
}","Social media enables the ability to connect with others regardless of physical distance."
"RelR_d6a9e87213dc","En_9617c57e","Can_7d3523cb","enhances","enhances","Indicates that the subject has a positive, beneficial effect on the quality, intensity, or strength of the object (e.g., enhancing communication, closeness, or sense of community).","social_experience_effect_relation","CAUSALITY","functional effect","0.78","Ability is modeled as improving or modifying communication patterns.","The text describes this ability as a significant impact of social media on communication, implying it changes how communication functions.","Relation name 'enhances' chosen to capture positive functional change; could also be modeled more neutrally as 'modifies'.","One of the most significant impacts of social media on communication is the ability to connect with others regardless of physical distance.","Ch_000001","{
 ""TemporalQualifier"": ""in contemporary digital society"",
 ""SpatialQualifier"": ""between geographically distant individuals"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""impact on communication"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""ImpactType: connectivity across distance""
}","The ability to connect regardless of physical distance enhances human communication in contemporary society."
