type,merged_count,unmerged_count
Action,0,5
Author,18,7
Authors,0,1
CausalHint,5,3
ChemicalSymbol,4,0
Component,23,71
ComponentDefect,1,1
ComponentFeature,2,1
ComponentProperty,0,2
Condition,3,1
Conference,2,1
CriticalFactor,14,3
DamageFeature,1,2
DamageMechanism,114,66
DamageMorphology,2,1
DesignFactor,0,1
Document,0,1
DocumentIdentifier,0,1
Environment,0,5
EnvironmentalCondition,0,1
Event,1,1
FailureEvent,10,13
FailureMode,0,1
Industry,0,3
InspectionMethod,37,22
Location,6,2
ManufacturingProcess,0,3
Material,74,88
MaterialBehavior,0,3
MaterialComposition,0,2
MaterialCondition,0,2
MaterialDefect,2,1
MaterialFeature,1,0
MaterialPhase,1,0
MaterialProperty,17,17
MaterialSpecification,0,1
MaterialStructure,2,2
MeasurementUnit,0,1
MechanicalLoad,0,1
MetallurgicalStructure,4,0
MitigationAction,11,19
OperatingCondition,27,39
OperationalConstraint,1,2
Organization,20,9
Person,2,4
Phenomenon,0,1
Process,5,9
ProcessCondition,0,1
ProcessUnit,20,17
Publication,14,7
Publisher,5,2
Reference,3,0
ReferenceDocument,4,3
ReferenceMaterial,10,6
Regulation,2,0
RelatedMechanism,1,0
Report,0,1
ResearchStudy,0,1
SpatialQualifier,0,1
Standard,7,4
StressCondition,0,1
StressFactor,1,0
Study,0,1
Symptom,5,23
TemporalQualifier,6,7
Tool,0,1
TreatmentProcess,0,1
Website,0,1
